UNITID,LAT,LNG
156286,38.2161003,-85.702846
156295,37.5717311,-84.2897389
156310,36.9797866,-86.4693647
156356,37.7687914,-87.1124344
156365,37.3443086,-85.34798839999999
156408,37.6450353,-84.7777339
156417,36.713492,-83.732858
156426,37.9802059,-84.54826369999999
156541,36.7371496,-84.1638243
156620,37.7339804,-84.3005447
156745,38.20740079999999,-84.55679769999999
156754,37.0125818,-85.922293
156842,38.2488576,-85.57885929999999
157021,38.0269509,-84.4211236
157085,38.0378909,-84.5071968
157100,38.339171,-82.946523
157270,38.199648,-85.688788
157289,38.2150536,-85.76014339999999
157377,38.1445932,-84.6772506
157386,38.1871152,-83.4339966
157401,36.6124534,-88.3236652
157447,39.0351545,-84.4540683
157535,37.4789954,-82.52114329999999
157614,38.2557649,-85.65752239999999
157650,37.6973281,-85.87856529999999
157669,38.1671574,-85.83086229999999
157678,39.0096398,-84.6290021
157757,38.24154770000001,-85.7588742
157766,38.1764332,-85.8195427
157809,39.0207707,-84.5668496
157818,38.0528459,-84.49226929999999
157863,36.8713294,-83.89052009999999
157951,36.9844038,-86.45619839999999
158343,30.4220835,-91.080879
158352,30.4769305,-91.1555463
158431,32.5395936,-93.64676229999999
158440,29.9659837,-90.0887678
158477,32.4836634,-93.7332287
158723,30.2286973,-93.2141437
158802,29.9948773,-90.0675421
159009,32.5221156,-92.71450469999999
159197,30.3699554,-91.0308182
159382,31.1781285,-92.414097
159391,30.4150012,-91.1789198
159407,30.4746996,-92.43407440000001
159416,32.4274274,-93.70492190000002
159568,31.325387,-92.4267002
159647,32.52688,-92.64820530000001
159717,30.1778925,-93.2196002
159966,29.7907423,-90.8028602
159993,32.528963,-92.0762487
160038,31.7401783,-93.1272795
160074,30.4001296,-91.1105056
160409,30.5268522,-90.1136423
160612,30.514,-90.46753609999999
160621,32.5108048,-92.1091453
160649,32.5442481,-93.83460939999999
160658,30.21532029999999,-92.01909169999999
160959,44.395359,-68.221822
160977,44.1067532,-70.20420039999999
160995,44.7867148,-68.7862741
161004,43.906895,-69.96520579999999
161077,44.1327982,-70.2328833
161086,44.5638691,-69.6626362
161138,44.8260177,-68.7442705
161192,44.5951037,-69.6111234
161217,44.3422294,-69.7944639
161226,44.6691179,-70.14898769999999
161235,47.2503875,-68.5893628
161244,44.7078391,-67.45599469999999
161253,44.8955674,-68.6735534
161299,44.3871825,-68.7985098
161341,46.6722917,-68.0162995
161484,46.6938671,-68.0338709
161509,43.6556892,-70.26074899999999
161518,43.8270194,-70.4826594
161545,43.6490443,-70.2286139
161554,43.6621143,-70.2777677
161563,44.5239503,-69.66422469999999
161572,44.6050718,-69.3301614
161581,45.16595909999999,-67.2428512
161767,39.0490132,-76.5167488
161864,39.3207741,-76.6619365
162007,39.0167504,-76.7612748
162061,39.0470439,-76.852139
162104,39.6410412,-75.95645789999999
162210,38.9868441,-77.0012376
162283,39.31004,-76.65868800000001
162557,39.4518808,-77.41846869999999
162584,39.6498745,-78.9345618
162654,39.408765,-76.59654499999999
162681,39.673767,-77.722675
162706,39.5612601,-76.2860611
162760,39.4213829,-77.4202024
162779,39.212315,-76.87844810000001
162928,39.3262044,-76.6208832
163046,39.3512609,-76.61471329999999
163204,38.9864985,-76.9539916
163268,39.25526079999999,-76.7154109
163286,38.9896967,-76.93776
163295,39.3074853,-76.6216858
163426,39.0973684,-77.15773519999999
